acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
2.6082559253373407,1.46590231576829,0.23798742972546877,0,0,0,1
-1.638044774662659,-1.22403758423171,-0.09850606427453124,0,0,0,1
-2.9769152746626593,-0.44409672423170987,0.46179326972546875,0,0,0,1
-2.9769152746626593,-0.44409672423170987,0.46179326972546875,0,0,0,1
-3.100769474662659,0.8364922557682901,0.6467839197254688,0,0,0,1
2.683103125337341,0.39845211576829015,0.15450891972546876,0,0,0,1
2.683103125337341,0.39845211576829015,0.15450891972546876,0,0,0,1
1.500486825337341,0.03749622576829013,0.32171317972546876,0,0,0,1
-0.3319992746626591,0.2220072057682901,-0.025911362274531224,0,0,0,1
-1.764964074662659,0.33700411576829015,-0.22073242027453122,0,0,0,1
0.3360343253373409,0.20115612576829012,-0.4998879102745312,0,0,0,1
0.7904143253373409,0.46282241576829014,0.19394602972546876,0,0,0,1
0.7904143253373409,0.46282241576829014,0.19394602972546876,0,0,0,1
0.014774815337340895,0.6284674557682901,0.3557557697254688,0,0,0,1
0.014774815337340895,0.6284674557682901,0.3557557697254688,0,0,0,1
-0.24468181466265912,0.6957738557682901,1.458862019725469,0,0,0,1
0.5007624753373409,1.32299141576829,1.2105343197254688,0,0,0,1
-0.4362683146626591,0.42317301576829014,-0.24292037027453123,0,0,0,1
-0.4362683146626591,0.42317301576829014,-0.24292037027453123,0,0,0,1
-0.4362683146626591,0.42317301576829014,-0.24292037027453123,0,0,0,1
-1.732844774662659,0.43580027576829017,-0.5237854402745312,0,0,0,1
-1.256400574662659,0.5651098157682901,-0.35670051027453126,0,0,0,1
0.6173396253373409,0.12072940576829012,0.24235203972546876,0,0,0,1
1.911314525337341,0.36687197576829017,0.16466381972546876,0,0,0,1
1.623295325337341,1.1859691157682901,0.6143002797254689,0,0,0,1
-0.2588867946626591,0.6028045157682902,1.0947936197254688,0,0,0,1
-0.2588867946626591,0.6028045157682902,1.0947936197254688,0,0,0,1
1.623295325337341,1.1859691157682901,0.6143002797254689,0,0,0,1
-3.469379374662659,-0.8093559842317098,0.5106838597254688,0,0,0,1
-1.940798774662659,-1.3191747842317099,0.5304623497254688,0,0,0,1
1.801856525337341,1.24979731576829,0.35641331972546875,0,0,0,1
1.801856525337341,1.24979731576829,0.35641331972546875,0,0,0,1
1.801856525337341,1.24979731576829,0.35641331972546875,0,0,0,1
1.630217125337341,1.08835461576829,-0.5876795402745312,0,0,0,1
-1.097743474662659,0.26357017576829017,-0.43845526027453124,0,0,0,1
-1.097743474662659,0.26357017576829017,-0.43845526027453124,0,0,0,1
-2.093290774662659,0.33733891576829017,0.10667457972546877,0,0,0,1
-0.9528679746626592,0.6845219157682901,0.47080948972546877,0,0,0,1
0.5632567553373409,0.9953503757682901,0.47616198972546875,0,0,0,1
1.710162625337341,0.2870464757682901,0.8656213197254689,0,0,0,1
1.745721325337341,-0.6622568142317099,0.6242494197254689,0,0,0,1
0.18201591533734088,-1.05743218423171,1.212461919725469,0,0,0,1
-1.220180974662659,-0.3082573242317099,1.0440629197254687,0,0,0,1
